airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES
10837	50II	NULL	NULL	39.773657	-86.756396
10838	Y43	NULL	NULL	41.440265	-94.769701
10839	FL58	NULL	NULL	29.02637	-81.987863
10840	C11	NULL	NULL	41.793583	-91.864772
10841	IN01	NULL	NULL	39.486111	-86.148611
10842	13XA	NULL	NULL	31.952119	-97.835778
10843	2C6	NULL	NULL	40.774	-90.074417
10844	I99	NULL	NULL	40.232513	-85.637531
10845	IL02	NULL	NULL	42.472242	-87.908409
10846	LUP	PHLU	NULL	21.21104	-156.973597
10847	TE55	NULL	NULL	33.421667	-98.190556
10848	VG42	NULL	NULL	37.252361	-77.152667
10849	TS62	NULL	NULL	33.200094	-100.518447
10850	18HI	NULL	NULL	21.137	-156.734444
10851	TS02	NULL	NULL	33.119561	-98.230602
10852	18FD	NULL	NULL	30.854074	-86.667177
10853	FL01	NULL	NULL	27.621144	-81.610633
10854	AGR	KAGR	NULL	27.64785	-81.341564
10855	4XA2	NULL	NULL	28.790431	-97.765458
10856	01TN	NULL	NULL	34.995926	-89.73064
10857	0VI1	NULL	NULL	37.688889	-77.101389
10858	6VA2	NULL	NULL	36.741804	-79.847815
10859	32TX	NULL	NULL	30.792006	-104.250856
10860	XS44	NULL	NULL	31.015278	-104.212416
10861	4TX5	NULL	NULL	32.22987	-96.259699
10862	5FD7	NULL	NULL	28.611659	-82.367871
10863	24IA	NULL	NULL	42.515806	-92.519811
10864	09FD	NULL	NULL	28.671104	-82.087307
10865	25FL	NULL	NULL	28.631944	-82.157778
10866	5TN9	NULL	NULL	36.11395	-85.594979
10867	64TE	NULL	NULL	30.159092	-99.337269
10868	5TE4	NULL	NULL	36.508359	-102.392125
10869	60TE	NULL	NULL	30.141383	-99.150467
10870	4TX6	NULL	NULL	32.41265	-94.818269
10871	2CB	NULL	NULL	29.966907	-81.983158
10872	9FL1	NULL	NULL	28.683602	-82.157587
10873	00FA	NULL	NULL	28.645547	-82.218975
10874	IA12	NULL	NULL	43.097182	-93.40215
10875	FA43	NULL	NULL	29.808544	-84.595735
10876	3TX3	NULL	NULL	33.119565	-97.319741
10877	7XA2	NULL	NULL	33.148883	-97.374014
10878	2TE6	NULL	NULL	28.887754	-98.050283
10879	TN77	NULL	NULL	36.321833	-87.150667
10880	3TX7	NULL	NULL	33.140833	-97.371111
10881	46IA	NULL	NULL	41.755821	-93.566605
10882	Y48	NULL	NULL	42.852746	-93.594654
10883	Y46	NULL	NULL	40.637766	-94.729413
10884	FA55	NULL	NULL	30.779722	-85.768333
10885	C40	NULL	NULL	40.716713	-85.249971
10886	VG57	NULL	NULL	38.605676	-77.584711
10887	TA46	NULL	NULL	32.562636	-96.401095
10888	04TN	NULL	NULL	36.183333	-82.678889
10889	3VG2	NULL	NULL	37.388333	-75.8925
10890	4TX2	NULL	NULL	32.966791	-97.233626
10891	09IA	NULL	NULL	41.745832	-92.409351
10892	FD16	NULL	NULL	29.965833	-82.872778
10893	FD71	NULL	NULL	30.048333	-82.983889
10894	2FD0	NULL	NULL	29.975785	-82.907349
10895	IA70	NULL	NULL	43.425789	-93.835781
10896	FL02	NULL	NULL	29.8894	-82.798734
10897	0FL1	NULL	NULL	29.983333	-82.835556
10898	TN67	NULL	NULL	35.24786	-86.128597
10899	TN07	NULL	NULL	35.687222	-86.606389
10900	2FA4	NULL	NULL	26.379523	-80.945621
10901	0FL9	NULL	NULL	26.393889	-81.023056
10902	TN14	NULL	NULL	35.689722	-86.635833
10903	6TN7	NULL	NULL	35.023889	-89.205
