airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES	COUNTRY_CODE	SUBDIVISION_CODE
23906	WS03	NULL	NULL	43.061679	-87.879251	USA	WI
23907	0WI0	NULL	NULL	42.988904	-87.951474	USA	WI
23908	23WS	NULL	NULL	43.060833	-87.880833	USA	WI
23909	6MI0	NULL	NULL	44.614733	-84.951983	USA	MI
23910	MS15	NULL	NULL	33.331229	-91.03705	USA	MS
23911	1MS2	NULL	NULL	32.942959	-89.929902	USA	MS
23912	7ND1	NULL	NULL	47.037339	-102.760947	USA	ND
23913	37ND	NULL	NULL	47.231956	-102.509072	USA	ND
23914	17KY	NULL	NULL	37.393934	-87.258886	USA	KY
23915	M47	NULL	NULL	44.35	-83.942222	USA	MI
23916	8NA7	NULL	NULL	48.0625	-98.929289	USA	ND
23917	80KY	NULL	NULL	37.396156	-87.235552	USA	KY
23918	7JY7	NULL	NULL	37.057056	-85.0675	USA	KY
23919	MS16	NULL	NULL	33.519564	-90.200917	USA	MS
23920	94KY	NULL	NULL	37.500556	-87.329444	USA	KY
23921	50MI	NULL	NULL	43.157253	-85.294189	USA	MI
23922	6KY9	NULL	NULL	38.512361	-82.687208	USA	KY
23923	MS05	NULL	NULL	33.410672	-91.034272	USA	MS
23924	1KY0	NULL	NULL	37.676748	-84.232986	USA	KY
23925	02MI	NULL	NULL	43.157089	-85.148517	USA	MI
23926	1KY7	NULL	NULL	37.8325	-84.180833	USA	KY
23927	MI80	NULL	NULL	43.128363	-85.399192	USA	MI
23928	MS30	NULL	NULL	33.305674	-90.990382	USA	MS
23929	WN85	NULL	NULL	43.274713	-89.350395	USA	WI
23930	9WI3	NULL	NULL	44.285548	-87.986765	USA	WI
23931	WI19	NULL	NULL	43.799978	-89.433454	USA	WI
23932	WS96	NULL	NULL	42.620839	-89.767344	USA	WI
23933	WI53	NULL	NULL	44.79175	-89.888706	USA	WI
23934	5KY8	NULL	NULL	37.889722	-84.927778	USA	KY
23935	38ND	NULL	NULL	47.098035	-97.4012	USA	ND
23936	6MI2	NULL	NULL	42.665556	-85.987778	USA	MI
23937	2KY2	NULL	NULL	37.262222	-88.231944	USA	KY
23938	ND45	NULL	NULL	46.831517	-96.829183	USA	ND
23939	ND48	NULL	NULL	46.883575	-96.785636	USA	ND
23940	39KY	NULL	NULL	37.085444	-84.621208	USA	KY
23941	5KY6	NULL	NULL	38.420556	-85.257778	USA	KY
23942	Z92	NULL	NULL	42.589418	-82.575624	USA	MI
23943	3KY6	NULL	NULL	37.676667	-82.296389	USA	KY
23944	HD6	NULL	NULL	42.592228	-82.57195	USA	MI
